"Time","perf_app1"
2026-09-11 12:04:00,0.109%
2026-09-11 12:04:15,0.106%
2026-09-11 12:04:30,0.109%
2026-09-11 12:04:45,0.0771%
2026-09-11 12:05:00,0.0734%
2026-09-11 12:05:15,0.109%
2026-09-11 12:05:30,0.0847%
2026-09-11 12:05:45,0.0747%
2026-09-11 12:06:00,0.119%
2026-09-11 12:06:15,0.104%
2026-09-11 12:06:30,0.109%
2026-09-11 12:06:45,0.102%
2026-09-11 12:07:00,0.138%
2026-09-11 12:07:15,0.0810%
2026-09-11 12:07:30,0.0774%
2026-09-11 12:07:45,0.0663%
2026-09-11 12:08:00,0.0667%
2026-09-11 12:08:15,0.121%
2026-09-11 12:08:30,0.0922%
2026-09-11 12:08:45,0.0665%
2026-09-11 12:09:00,0.0924%
2026-09-11 12:09:15,0.103%
2026-09-11 12:09:30,0.109%
2026-09-11 12:09:45,0.0999%
2026-09-11 12:10:00,0.101%
2026-09-11 12:10:15,0.101%
2026-09-11 12:10:30,0.0579%
2026-09-11 12:10:45,0.0803%
2026-09-11 12:11:00,0.108%
2026-09-11 12:11:15,0.0782%
2026-09-11 12:11:30,0.0640%
2026-09-11 12:11:45,0.0457%
2026-09-11 12:12:00,0.0750%
2026-09-11 12:12:15,0.0829%
2026-09-11 12:12:30,0.0828%
2026-09-11 12:12:45,0.0784%
2026-09-11 12:13:00,0.0741%
2026-09-11 12:13:15,0.0753%
2026-09-11 12:13:30,0.0734%
2026-09-11 12:13:45,0.0876%
2026-09-11 12:14:00,0.0810%
2026-09-11 12:14:15,0.0874%
2026-09-11 12:14:30,0.0678%
2026-09-11 12:14:45,0.0892%
2026-09-11 12:15:00,0.102%
2026-09-11 12:15:15,0.0868%
2026-09-11 12:15:30,0.117%
2026-09-11 12:15:45,0.120%
2026-09-11 12:16:00,0.115%
2026-09-11 12:16:15,0.117%
2026-09-11 12:16:30,0.119%
2026-09-11 12:16:45,0.0981%
2026-09-11 12:17:00,0.325%
2026-09-11 12:17:15,0.105%
2026-09-11 12:17:30,0.120%
2026-09-11 12:17:45,0.0781%
2026-09-11 12:18:00,0.0635%
2026-09-11 12:18:15,0.0665%
2026-09-11 12:18:30,0.0859%
2026-09-11 12:18:45,0.107%
2026-09-11 12:19:00,0.0965%
2026-09-11 12:19:15,0.0673%
2026-09-11 12:19:30,0.119%
2026-09-11 12:19:45,0.0826%
2026-09-11 12:20:00,0.0881%
2026-09-11 12:20:15,0.0832%
2026-09-11 12:20:30,0.103%
2026-09-11 12:20:45,0.0671%
2026-09-11 12:21:00,0.0886%
2026-09-11 12:21:15,0.0876%
2026-09-11 12:21:30,0.110%
2026-09-11 12:21:45,0.0919%
2026-09-11 12:22:00,0.115%
2026-09-11 12:22:15,0.0820%
2026-09-11 12:22:30,0.105%
2026-09-11 12:22:45,0.0887%
2026-09-11 12:23:00,0.115%
2026-09-11 12:23:15,0.0707%
2026-09-11 12:23:30,0.111%
2026-09-11 12:23:45,0.0727%
2026-09-11 12:24:00,0.105%
2026-09-11 12:24:15,0.111%
2026-09-11 12:24:30,0.0987%
2026-09-11 12:24:45,0.117%
2026-09-11 12:25:00,0.0773%
2026-09-11 12:25:15,0.0715%
2026-09-11 12:25:30,0.0672%
2026-09-11 12:25:45,0.111%
2026-09-11 12:26:00,0.0773%
2026-09-11 12:26:15,0.120%
2026-09-11 12:26:30,0.0995%
2026-09-11 12:26:45,0.106%
2026-09-11 12:27:00,0.0972%
2026-09-11 12:27:15,0.0714%
2026-09-11 12:27:30,0.117%
2026-09-11 12:27:45,0.0752%
2026-09-11 12:28:00,0.0726%
2026-09-11 12:28:15,0.0640%
2026-09-11 12:28:30,0.0792%
2026-09-11 12:28:45,0.0580%
2026-09-11 12:29:00,0.0753%
2026-09-11 12:29:15,0.0847%
2026-09-11 12:29:30,0.102%
2026-09-11 12:29:45,0.0970%
2026-09-11 12:30:00,0.0928%
2026-09-11 12:30:15,0.0995%
2026-09-11 12:30:30,0.117%
2026-09-11 12:30:45,0.0908%
2026-09-11 12:31:00,0.103%
2026-09-11 12:31:15,0.114%
2026-09-11 12:31:30,0.139%
2026-09-11 12:31:45,0.0810%
2026-09-11 12:32:00,0.130%
2026-09-11 12:32:15,0.0879%
2026-09-11 12:32:30,0.103%
2026-09-11 12:32:45,0.0919%
2026-09-11 12:33:00,0.0941%
2026-09-11 12:33:15,0.101%
2026-09-11 12:33:30,0.0870%
2026-09-11 12:33:45,0.0830%
2026-09-11 12:34:00,0.0813%
2026-09-11 12:34:15,0.0830%
2026-09-11 12:34:30,0.116%
2026-09-11 12:34:45,0.344%
2026-09-11 12:35:00,0.0685%
2026-09-11 12:35:15,0.0805%
2026-09-11 12:35:30,0.0924%
2026-09-11 12:35:45,0.124%
2026-09-11 12:36:00,0.0958%
2026-09-11 12:36:15,0.114%
2026-09-11 12:36:30,0.116%
2026-09-11 12:36:45,0.0710%
2026-09-11 12:37:00,0.0926%
2026-09-11 12:37:15,0.106%
2026-09-11 12:37:30,0.0972%
2026-09-11 12:37:45,0.123%
2026-09-11 12:38:00,0.124%
2026-09-11 12:38:15,0.109%
2026-09-11 12:38:30,0.145%
2026-09-11 12:38:45,0.0832%
2026-09-11 12:39:00,0.129%
2026-09-11 12:39:15,0.133%
2026-09-11 12:39:30,0.109%
2026-09-11 12:39:45,0.0943%
2026-09-11 12:40:00,0.0954%
2026-09-11 12:40:15,0.109%
2026-09-11 12:40:30,0.0897%
2026-09-11 12:40:45,0.127%
2026-09-11 12:41:00,0.0924%
2026-09-11 12:41:15,0.0764%
2026-09-11 12:41:30,0.255%
2026-09-11 12:41:45,0.0815%
2026-09-11 12:42:00,0.148%
2026-09-11 12:42:15,0.0984%
2026-09-11 12:42:30,0.0869%
2026-09-11 12:42:45,0.103%
2026-09-11 12:43:00,0.107%
2026-09-11 12:43:15,0.101%
2026-09-11 12:43:30,0.118%
2026-09-11 12:43:45,0.145%
2026-09-11 12:44:00,0.0950%
2026-09-11 12:44:15,0.112%
2026-09-11 12:44:30,0.0878%
2026-09-11 12:44:45,0%
2026-09-11 12:45:00,0.0721%
2026-09-11 12:45:15,0.101%
2026-09-11 12:45:30,0.129%
2026-09-11 12:45:45,0.141%
2026-09-11 12:46:00,0.107%
2026-09-11 12:46:15,0.121%
2026-09-11 12:46:30,0.121%
2026-09-11 12:46:45,0.102%
2026-09-11 12:47:00,0.131%
2026-09-11 12:47:15,0.106%
2026-09-11 12:47:30,0.0791%
2026-09-11 12:47:45,0.0938%
2026-09-11 12:48:00,0.0825%
2026-09-11 12:48:15,0.0892%
2026-09-11 12:48:30,0.118%
2026-09-11 12:48:45,0.157%
2026-09-11 12:49:00,0.125%
2026-09-11 12:49:15,0.103%
2026-09-11 12:49:30,0.107%
2026-09-11 12:49:45,0.0872%
2026-09-11 12:50:00,0.107%
2026-09-11 12:50:15,0.127%
2026-09-11 12:50:30,0.106%
2026-09-11 12:50:45,0.109%
2026-09-11 12:51:00,0.0926%
2026-09-11 12:51:15,0.0864%
2026-09-11 12:51:30,0.129%
2026-09-11 12:51:45,0.103%
2026-09-11 12:52:00,0.117%
2026-09-11 12:52:15,0.147%
2026-09-11 12:52:30,0.125%
2026-09-11 12:52:45,0.124%
2026-09-11 12:53:00,0.151%
2026-09-11 12:53:15,0.144%
2026-09-11 12:53:30,0.111%
2026-09-11 12:53:45,0.111%
2026-09-11 12:54:00,0.131%
2026-09-11 12:54:15,0.123%
