"Time","perf_app1"
2026-09-11 12:04:00,0 B/s
2026-09-11 12:04:15,0 B/s
2026-09-11 12:04:30,0 B/s
2026-09-11 12:04:45,0 B/s
2026-09-11 12:05:00,21.3 B/s
2026-09-11 12:05:15,21.7 B/s
2026-09-11 12:05:30,56.8 B/s
2026-09-11 12:05:45,56.8 B/s
2026-09-11 12:06:00,56.8 B/s
2026-09-11 12:06:15,56.8 B/s
2026-09-11 12:06:30,92.4 B/s
2026-09-11 12:06:45,71.0 B/s
2026-09-11 12:07:00,70.6 B/s
2026-09-11 12:07:15,61.3 B/s
2026-09-11 12:07:30,61.3 B/s
2026-09-11 12:07:45,61.3 B/s
2026-09-11 12:08:00,61.3 B/s
2026-09-11 12:08:15,46.8 B/s
2026-09-11 12:08:30,46.8 B/s
2026-09-11 12:08:45,65.5 B/s
2026-09-11 12:09:00,40.3 B/s
2026-09-11 12:09:15,40.3 B/s
2026-09-11 12:09:30,40.3 B/s
2026-09-11 12:09:45,73.6 B/s
2026-09-11 12:10:00,54.4 B/s
2026-09-11 12:10:15,54.4 B/s
2026-09-11 12:10:30,55.9 B/s
2026-09-11 12:10:45,55.2 B/s
2026-09-11 12:11:00,55.2 B/s
2026-09-11 12:11:15,55.2 B/s
2026-09-11 12:11:30,28.8 B/s
2026-09-11 12:11:45,27.0 B/s
2026-09-11 12:12:00,27.0 B/s
2026-09-11 12:12:15,12.6 B/s
2026-09-11 12:12:30,12.6 B/s
2026-09-11 12:12:45,12.6 B/s
2026-09-11 12:13:00,12.6 B/s
2026-09-11 12:13:15,26.2 B/s
2026-09-11 12:13:30,26.2 B/s
2026-09-11 12:13:45,51.0 B/s
2026-09-11 12:14:00,45.9 B/s
2026-09-11 12:14:15,45.9 B/s
2026-09-11 12:14:30,45.9 B/s
2026-09-11 12:14:45,65.1 B/s
2026-09-11 12:15:00,46.4 B/s
2026-09-11 12:15:15,46.4 B/s
2026-09-11 12:15:30,40.9 B/s
2026-09-11 12:15:45,40.3 B/s
2026-09-11 12:16:00,40.3 B/s
2026-09-11 12:16:15,40.3 B/s
2026-09-11 12:16:30,41.6 B/s
2026-09-11 12:16:45,39.8 B/s
2026-09-11 12:17:00,59.1 B/s
2026-09-11 12:17:15,41.2 B/s
2026-09-11 12:17:30,41.2 B/s
2026-09-11 12:17:45,41.2 B/s
2026-09-11 12:18:00,41.2 B/s
2026-09-11 12:18:15,26.5 B/s
2026-09-11 12:18:30,27.1 B/s
2026-09-11 12:18:45,13.7 B/s
2026-09-11 12:19:00,13.3 B/s
2026-09-11 12:19:15,13.3 B/s
2026-09-11 12:19:30,13.3 B/s
2026-09-11 12:19:45,46.6 B/s
2026-09-11 12:20:00,42.7 B/s
2026-09-11 12:20:15,42.0 B/s
2026-09-11 12:20:30,56.3 B/s
2026-09-11 12:20:45,55.2 B/s
2026-09-11 12:21:00,55.2 B/s
2026-09-11 12:21:15,55.2 B/s
2026-09-11 12:21:30,47.1 B/s
2026-09-11 12:21:45,46.7 B/s
2026-09-11 12:22:00,46.7 B/s
2026-09-11 12:22:15,47.4 B/s
2026-09-11 12:22:30,47.4 B/s
2026-09-11 12:22:45,47.4 B/s
2026-09-11 12:23:00,47.4 B/s
2026-09-11 12:23:15,42.8 B/s
2026-09-11 12:23:30,41.3 B/s
2026-09-11 12:23:45,60.0 B/s
2026-09-11 12:24:00,40.6 B/s
2026-09-11 12:24:15,40.6 B/s
2026-09-11 12:24:30,40.6 B/s
2026-09-11 12:24:45,59.7 B/s
2026-09-11 12:25:00,41.0 B/s
2026-09-11 12:25:15,41.0 B/s
2026-09-11 12:25:30,42.9 B/s
2026-09-11 12:25:45,41.5 B/s
2026-09-11 12:26:00,41.5 B/s
2026-09-11 12:26:15,41.5 B/s
2026-09-11 12:26:30,56.7 B/s
2026-09-11 12:26:45,54.9 B/s
2026-09-11 12:27:00,54.9 B/s
2026-09-11 12:27:15,54.4 B/s
2026-09-11 12:27:30,54.4 B/s
2026-09-11 12:27:45,54.4 B/s
2026-09-11 12:28:00,54.4 B/s
2026-09-11 12:28:15,46.7 B/s
2026-09-11 12:28:30,46.7 B/s
2026-09-11 12:28:45,66.1 B/s
2026-09-11 12:29:00,47.4 B/s
2026-09-11 12:29:15,47.4 B/s
2026-09-11 12:29:30,47.4 B/s
2026-09-11 12:29:45,66.1 B/s
2026-09-11 12:30:00,41.3 B/s
2026-09-11 12:30:15,41.3 B/s
2026-09-11 12:30:30,27.3 B/s
2026-09-11 12:30:45,25.8 B/s
2026-09-11 12:31:00,25.8 B/s
2026-09-11 12:31:15,25.8 B/s
2026-09-11 12:31:30,28.4 B/s
2026-09-11 12:31:45,26.6 B/s
2026-09-11 12:32:00,26.6 B/s
2026-09-11 12:32:15,27.8 B/s
2026-09-11 12:32:30,27.8 B/s
2026-09-11 12:32:45,27.8 B/s
2026-09-11 12:33:00,27.8 B/s
2026-09-11 12:33:15,27.0 B/s
2026-09-11 12:33:30,27.0 B/s
2026-09-11 12:33:45,45.7 B/s
2026-09-11 12:34:00,39.8 B/s
2026-09-11 12:34:15,39.8 B/s
2026-09-11 12:34:30,39.8 B/s
2026-09-11 12:34:45,58.9 B/s
2026-09-11 12:35:00,40.2 B/s
2026-09-11 12:35:15,40.2 B/s
2026-09-11 12:35:30,42.5 B/s
2026-09-11 12:35:45,41.9 B/s
2026-09-11 12:36:00,41.9 B/s
2026-09-11 12:36:15,41.9 B/s
2026-09-11 12:36:30,27.9 B/s
2026-09-11 12:36:45,26.7 B/s
2026-09-11 12:37:00,26.7 B/s
2026-09-11 12:37:15,40.8 B/s
2026-09-11 12:37:30,40.8 B/s
2026-09-11 12:37:45,40.8 B/s
2026-09-11 12:38:00,40.8 B/s
2026-09-11 12:38:15,62.4 B/s
2026-09-11 12:38:30,61.7 B/s
2026-09-11 12:38:45,80.8 B/s
2026-09-11 12:39:00,47.5 B/s
2026-09-11 12:39:15,47.5 B/s
2026-09-11 12:39:30,47.5 B/s
2026-09-11 12:39:45,66.2 B/s
2026-09-11 12:40:00,41.4 B/s
2026-09-11 12:40:15,41.4 B/s
2026-09-11 12:40:30,56.7 B/s
2026-09-11 12:40:45,54.8 B/s
2026-09-11 12:41:00,54.8 B/s
2026-09-11 12:41:15,54.8 B/s
2026-09-11 12:41:30,41.9 B/s
2026-09-11 12:41:45,40.7 B/s
2026-09-11 12:42:00,40.7 B/s
2026-09-11 12:42:15,26.9 B/s
2026-09-11 12:42:30,26.9 B/s
2026-09-11 12:42:45,26.9 B/s
2026-09-11 12:43:00,26.9 B/s
2026-09-11 12:43:15,56.3 B/s
2026-09-11 12:43:30,55.6 B/s
2026-09-11 12:43:45,75.0 B/s
2026-09-11 12:44:00,55.6 B/s
2026-09-11 12:44:15,55.6 B/s
2026-09-11 12:44:30,55.6 B/s
2026-09-11 12:44:45,59.6 B/s
2026-09-11 12:45:00,47.0 B/s
2026-09-11 12:45:15,47.0 B/s
2026-09-11 12:45:30,62.4 B/s
2026-09-11 12:45:45,61.3 B/s
2026-09-11 12:46:00,61.3 B/s
2026-09-11 12:46:15,61.3 B/s
2026-09-11 12:46:30,77.8 B/s
2026-09-11 12:46:45,55.2 B/s
2026-09-11 12:47:00,55.2 B/s
2026-09-11 12:47:15,41.1 B/s
2026-09-11 12:47:30,41.1 B/s
2026-09-11 12:47:45,41.1 B/s
2026-09-11 12:48:00,41.1 B/s
2026-09-11 12:48:15,41.5 B/s
2026-09-11 12:48:30,41.5 B/s
2026-09-11 12:48:45,74.8 B/s
2026-09-11 12:49:00,55.6 B/s
2026-09-11 12:49:15,55.6 B/s
2026-09-11 12:49:30,55.6 B/s
2026-09-11 12:49:45,88.9 B/s
2026-09-11 12:50:00,69.8 B/s
2026-09-11 12:50:15,69.8 B/s
2026-09-11 12:50:30,57.1 B/s
2026-09-11 12:50:45,55.6 B/s
2026-09-11 12:51:00,55.6 B/s
2026-09-11 12:51:15,55.6 B/s
2026-09-11 12:51:30,48.3 B/s
2026-09-11 12:51:45,47.1 B/s
2026-09-11 12:52:00,47.1 B/s
2026-09-11 12:52:15,61.3 B/s
2026-09-11 12:52:30,61.3 B/s
2026-09-11 12:52:45,61.3 B/s
2026-09-11 12:53:00,61.3 B/s
2026-09-11 12:53:15,55.9 B/s
2026-09-11 12:53:30,55.2 B/s
2026-09-11 12:53:45,80.0 B/s
2026-09-11 12:54:00,47.1 B/s
2026-09-11 12:54:15,47.1 B/s
2026-09-11 12:54:30,47.1 B/s
2026-09-11 12:54:45,66.5 B/s
2026-09-11 12:55:00,47.8 B/s
2026-09-11 12:55:15,47.8 B/s
2026-09-11 12:55:30,42.4 B/s
2026-09-11 12:55:45,40.5 B/s
2026-09-11 12:56:00,40.5 B/s
2026-09-11 12:56:15,40.5 B/s
2026-09-11 12:56:30,41.6 B/s
2026-09-11 12:56:45,39.8 B/s
2026-09-11 12:57:00,39.8 B/s
2026-09-11 12:57:15,40.6 B/s
2026-09-11 12:57:30,40.6 B/s
2026-09-11 12:57:45,40.6 B/s
2026-09-11 12:58:00,40.6 B/s
2026-09-11 12:58:15,41.0 B/s
2026-09-11 12:58:30,41.0 B/s
2026-09-11 12:58:45,74.3 B/s
2026-09-11 12:59:00,54.8 B/s
2026-09-11 12:59:15,54.8 B/s
2026-09-11 12:59:30,54.8 B/s
2026-09-11 12:59:45,58.9 B/s
2026-09-11 13:00:00,39.6 B/s
2026-09-11 13:00:15,39.6 B/s
2026-09-11 13:00:30,12.9 B/s
2026-09-11 13:00:45,12.2 B/s
2026-09-11 13:01:00,12.2 B/s
2026-09-11 13:01:15,12.2 B/s
2026-09-11 13:01:30,34.1 B/s
2026-09-11 13:01:45,33.1 B/s
2026-09-11 13:02:00,55.6 B/s
2026-09-11 13:02:15,50.9 B/s
2026-09-11 13:02:30,50.9 B/s
2026-09-11 13:02:45,50.9 B/s
2026-09-11 13:03:00,50.9 B/s
2026-09-11 13:03:15,45.4 B/s
2026-09-11 13:03:30,44.8 B/s
2026-09-11 13:03:45,29.2 B/s
2026-09-11 13:04:00,27.4 B/s
2026-09-11 13:04:15,27.4 B/s
2026-09-11 13:04:30,27.4 B/s
2026-09-11 13:04:45,31.8 B/s
2026-09-11 13:05:00,12.9 B/s
2026-09-11 13:05:15,12.9 B/s
2026-09-11 13:05:30,11.6 B/s
2026-09-11 13:05:45,11.6 B/s
2026-09-11 13:06:00,11.6 B/s
2026-09-11 13:06:15,11.6 B/s
2026-09-11 13:06:30,42.4 B/s
2026-09-11 13:06:45,40.7 B/s
2026-09-11 13:07:00,40.7 B/s
2026-09-11 13:07:15,69.8 B/s
2026-09-11 13:07:30,69.8 B/s
2026-09-11 13:07:45,69.8 B/s
2026-09-11 13:08:00,69.8 B/s
2026-09-11 13:08:15,41.6 B/s
2026-09-11 13:08:30,41.6 B/s
2026-09-11 13:08:45,66.4 B/s
2026-09-11 13:09:00,33.1 B/s
2026-09-11 13:09:15,33.1 B/s
2026-09-11 13:09:30,33.1 B/s
2026-09-11 13:09:45,55.8 B/s
2026-09-11 13:10:00,50.7 B/s
2026-09-11 13:10:15,50.7 B/s
2026-09-11 13:10:30,46.1 B/s
2026-09-11 13:10:45,44.6 B/s
2026-09-11 13:11:00,44.6 B/s
2026-09-11 13:11:15,44.6 B/s
2026-09-11 13:11:30,28.8 B/s
2026-09-11 13:11:45,27.0 B/s
2026-09-11 13:12:00,27.0 B/s
2026-09-11 13:12:15,27.8 B/s
2026-09-11 13:12:30,27.8 B/s
2026-09-11 13:12:45,27.8 B/s
2026-09-11 13:13:00,27.8 B/s
2026-09-11 13:13:15,45.2 B/s
2026-09-11 13:13:30,45.2 B/s
2026-09-11 13:13:45,78.5 B/s
2026-09-11 13:14:00,59.0 B/s
2026-09-11 13:14:15,59.0 B/s
2026-09-11 13:14:30,59.0 B/s
2026-09-11 13:14:45,64.9 B/s
2026-09-11 13:15:00,41.6 B/s
2026-09-11 13:15:15,41.6 B/s
2026-09-11 13:15:30,34.1 B/s
2026-09-11 13:15:45,32.7 B/s
2026-09-11 13:16:00,32.7 B/s
2026-09-11 13:16:15,32.7 B/s
2026-09-11 13:16:30,47.3 B/s
2026-09-11 13:16:45,46.3 B/s
2026-09-11 13:17:00,46.3 B/s
2026-09-11 13:17:15,40.6 B/s
2026-09-11 13:17:30,40.6 B/s
2026-09-11 13:17:45,40.6 B/s
2026-09-11 13:18:00,40.6 B/s
2026-09-11 13:18:15,26.5 B/s
2026-09-11 13:18:30,26.5 B/s
2026-09-11 13:18:45,45.9 B/s
2026-09-11 13:19:00,27.6 B/s
