"Time","perf_app1"
2026-09-11 17:48:30,105 B/s
2026-09-11 17:48:45,85.2 B/s
2026-09-11 17:49:00,65.8 B/s
2026-09-11 17:49:15,60.5 B/s
2026-09-11 17:49:30,93.8 B/s
2026-09-11 17:49:45,88.2 B/s
2026-09-11 17:50:00,106 B/s
2026-09-11 17:50:15,78.8 B/s
2026-09-11 17:50:30,113 B/s
2026-09-11 17:50:45,114 B/s
2026-09-11 17:51:00,134 B/s
2026-09-11 17:51:15,120 B/s
2026-09-11 17:51:30,106 B/s
2026-09-11 17:51:45,122 B/s
2026-09-11 17:52:00,135 B/s
2026-09-11 17:52:15,121 B/s
2026-09-11 17:52:30,126 B/s
2026-09-11 17:52:45,139 B/s
2026-09-11 17:53:00,140 B/s
2026-09-11 17:53:15,134 B/s
2026-09-11 17:53:30,123 B/s
2026-09-11 17:53:45,123 B/s
2026-09-11 17:54:00,123 B/s
2026-09-11 17:54:15,124 B/s
2026-09-11 17:54:30,124 B/s
2026-09-11 17:54:45,124 B/s
2026-09-11 17:55:00,142 B/s
2026-09-11 17:55:15,125 B/s
2026-09-11 17:55:30,139 B/s
2026-09-11 17:55:45,121 B/s
2026-09-11 17:56:00,134 B/s
2026-09-11 17:56:15,119 B/s
2026-09-11 17:56:30,106 B/s
2026-09-11 17:56:45,122 B/s
2026-09-11 17:57:00,135 B/s
2026-09-11 17:57:15,121 B/s
2026-09-11 17:57:30,144 B/s
2026-09-11 17:57:45,129 B/s
2026-09-11 17:58:00,115 B/s
2026-09-11 17:58:15,110 B/s
2026-09-11 17:58:30,95.7 B/s
2026-09-11 17:58:45,82.2 B/s
2026-09-11 17:59:00,96.9 B/s
2026-09-11 17:59:15,92.2 B/s
2026-09-11 17:59:30,107 B/s
2026-09-11 17:59:45,126 B/s
2026-09-11 18:00:00,130 B/s
2026-09-11 18:00:15,116 B/s
2026-09-11 18:00:30,128 B/s
2026-09-11 18:00:45,95.8 B/s
2026-09-11 18:01:00,82.2 B/s
2026-09-11 18:01:15,96.9 B/s
2026-09-11 18:01:30,92.0 B/s
2026-09-11 18:01:45,91.8 B/s
2026-09-11 18:02:00,106 B/s
2026-09-11 18:02:15,111 B/s
2026-09-11 18:02:30,115 B/s
2026-09-11 18:02:45,113 B/s
2026-09-11 18:03:00,99.4 B/s
2026-09-11 18:03:15,80.9 B/s
2026-09-11 18:03:30,82.2 B/s
2026-09-11 18:03:45,96.9 B/s
2026-09-11 18:04:00,91.9 B/s
2026-09-11 18:04:15,110 B/s
2026-09-11 18:04:30,124 B/s
2026-09-11 18:04:45,124 B/s
2026-09-11 18:05:00,128 B/s
2026-09-11 18:05:15,156 B/s
2026-09-11 18:05:30,142 B/s
2026-09-11 18:05:45,123 B/s
2026-09-11 18:06:00,123 B/s
2026-09-11 18:06:15,123 B/s
2026-09-11 18:06:30,123 B/s
2026-09-11 18:06:45,124 B/s
2026-09-11 18:07:00,124 B/s
2026-09-11 18:07:15,123 B/s
2026-09-11 18:07:30,141 B/s
2026-09-11 18:07:45,143 B/s
2026-09-11 18:08:00,128 B/s
2026-09-11 18:08:15,110 B/s
2026-09-11 18:08:30,109 B/s
2026-09-11 18:08:45,95.4 B/s
2026-09-11 18:09:00,101 B/s
2026-09-11 18:09:15,87.8 B/s
2026-09-11 18:09:30,67.4 B/s
2026-09-11 18:09:45,83.4 B/s
2026-09-11 18:10:00,107 B/s
2026-09-11 18:10:15,106 B/s
2026-09-11 18:10:30,91.5 B/s
2026-09-11 18:10:45,67.4 B/s
2026-09-11 18:11:00,81.3 B/s
2026-09-11 18:11:15,82.9 B/s
2026-09-11 18:11:30,96.1 B/s
2026-09-11 18:11:45,91.1 B/s
2026-09-11 18:12:00,109 B/s
2026-09-11 18:12:15,124 B/s
2026-09-11 18:12:30,141 B/s
2026-09-11 18:12:45,128 B/s
2026-09-11 18:13:00,156 B/s
2026-09-11 18:13:15,123 B/s
2026-09-11 18:13:30,123 B/s
2026-09-11 18:13:45,124 B/s
2026-09-11 18:14:00,124 B/s
2026-09-11 18:14:15,124 B/s
2026-09-11 18:14:30,124 B/s
2026-09-11 18:14:45,125 B/s
