"Time","perf_app1"
2026-09-11 17:48:30,0.120%
2026-09-11 17:48:45,0.126%
2026-09-11 17:49:00,0.103%
2026-09-11 17:49:15,0.0894%
2026-09-11 17:49:30,0.0637%
2026-09-11 17:49:45,0.0501%
2026-09-11 17:50:00,0.0820%
2026-09-11 17:50:15,0.0732%
2026-09-11 17:50:30,0.345%
2026-09-11 17:50:45,0.0552%
2026-09-11 17:51:00,0.0703%
2026-09-11 17:51:15,0.0745%
2026-09-11 17:51:30,0.0542%
2026-09-11 17:51:45,0.0688%
2026-09-11 17:52:00,0.0993%
2026-09-11 17:52:15,0.0799%
2026-09-11 17:52:30,0.0630%
2026-09-11 17:52:45,0.0869%
2026-09-11 17:53:00,0.0927%
2026-09-11 17:53:15,0.0821%
2026-09-11 17:53:30,0.0918%
2026-09-11 17:53:45,0.113%
2026-09-11 17:54:00,0.0690%
2026-09-11 17:54:15,0.0602%
2026-09-11 17:54:30,0.102%
2026-09-11 17:54:45,0.106%
2026-09-11 17:55:00,0.0883%
2026-09-11 17:55:15,0.0676%
2026-09-11 17:55:30,0.334%
2026-09-11 17:55:45,0.0787%
2026-09-11 17:56:00,0.106%
2026-09-11 17:56:15,0.128%
2026-09-11 17:56:30,0.122%
2026-09-11 17:56:45,0.0917%
2026-09-11 17:57:00,0.0884%
2026-09-11 17:57:15,0.114%
2026-09-11 17:57:30,0.132%
2026-09-11 17:57:45,0.102%
2026-09-11 17:58:00,0.160%
2026-09-11 17:58:15,0.108%
2026-09-11 17:58:30,0.0994%
2026-09-11 17:58:45,0.138%
2026-09-11 17:59:00,0.105%
2026-09-11 17:59:15,0.0654%
2026-09-11 17:59:30,0.138%
2026-09-11 17:59:45,0.0997%
2026-09-11 18:00:00,0.117%
2026-09-11 18:00:15,0.154%
2026-09-11 18:00:30,0.365%
2026-09-11 18:00:45,0.0814%
2026-09-11 18:01:00,0.104%
2026-09-11 18:01:15,0.0909%
2026-09-11 18:01:30,0.0801%
2026-09-11 18:01:45,0.0735%
2026-09-11 18:02:00,0.0893%
2026-09-11 18:02:15,0.0730%
2026-09-11 18:02:30,0.140%
2026-09-11 18:02:45,0.0867%
2026-09-11 18:03:00,0.348%
2026-09-11 18:03:15,0.113%
2026-09-11 18:03:30,0.0813%
2026-09-11 18:03:45,0.0781%
2026-09-11 18:04:00,0.0786%
